word,analysis,sep_form
Къарпузар,къарпуз<n>><pl><abs>,къарпуз-ар
ни,вуж<prn><erg>,ни
чуьнуьжзава,чуьнуьж<verb>><imperf>,чуьнуьж-зава
Дегь,дегь<adj>,дегь
замандин,заман<n>><gen>,заманди-н
зурба,зурба<adj>,зурба
тама,там<n>><in><essive>,там-а
чи,чун<prn><gen>,чи
колхоздихъ,колхоз<n>><post><essive>,колхозди-хъ
еке,еке<adj>,еке
белгенар,белген<n>><pl><abs>,белген-ар
ава,ава<cop><imperf>,ава
Инра,инра<adv>,инра
гьар,гьар<prn>,гьар
йисуз,йис<n>><dat>,йису-з
бустанар,бустан<n>><pl><abs>,бустан-ар
цазва,ца<verb>><imperf>,ца-зва
И,и<prn>,и
бустанра,бустан<n>><pl>><in><essive>,бустан-р-а
къарпузар,къарпуз<n>><pl><abs>,къарпуз-ар
гатун,гад<n>><gen>,гату-н
халияр,хали<n>><pl><abs>,хали-яр
афнияр,афни<n>><pl><abs>,афни-яр
буранар,буран<n>><pl><abs>,буран-ар
цазва,ца<verb>><imperf>,ца-зва
А,а<prn>,а
угъриди,угъри<n>><erg>,угъри-ди
гьи,гьи<prn>,гьи
вахтунда,вахт<n>><in><essive>,вахтунд-а
къвезватӀани,къве<verb>><imperf>><cnd>><add>,къве-зва-тӀа-ни
чидач,чи<verb>><fut>><neg>,чи-да-ч
хъсан,хъсан<adj>,хъсан
чранвай,чра<verb>><prf>><ptp>,чра-нва-й
къарпузар,къарпуз<n>><pl><abs>,къарпуз-ар
жагъурна,жагъур<verb>><aoc>,жагъур-на
абур,а<prn><pl><abs>,абур
я,я<conj>,я
бустанда,бустан<n>><in><essive>,бустанд-а
чкадал,чка<n>><super><essive>,чкада-л
я,я<conj>,я
тухвана,тухва<verb>><aoc>,тухва-на
лап,лап<adv>,лап
мукьвал,мукьвал<adj>,мукьвал
алай,ала<cop>><ptp>,ала-й
кулара,кул<n>><pl>><in><essive>,кул-ар-а
незва,не<verb>><imperf>,не-зва
Ингье,ингье<part>,ингье
пуд,пуд<num>,пуд
йиф,йиф<n><abs>,йиф
я,я<cop><imperf>,я
за,зун<prn><erg>,за
вил,вил<n><abs>,вил
кьванни,кьванни<part>,кьванни
акьалнавач,акьал<verb>><prf>><neg>,акьал-нава-ч
гьа,гьа<prn>,гьа
вили,вил<n>><erg>,вил-и
хуьзва,хуь<verb>><imperf>,хуь-зва
