id,word,stem,pos,tags,sep_form
0,Керекулни,керекул,n,"add",керекул-ни
1,жанавур,жанавур,n,"abs",жанавур
2,Гатфарин,гатфар,n,"gen",гатфари-н
3,вахт,вахт,n,"abs",вахт
4,тир,я,cop,"prf",тир
5,Таму,там,n,"erg",там-у
6,тара,тар,n,"erg",тар-а
7,пеш,пеш,n,"abs",пеш
8,ахъайна,ахъай,verb,"aor",ахъай-на
9,кьуд,кьуд,num,"",кьуд
10,пад,пад,n,"abs",пад
11,къацу,къацу,adj,"",къацу
12,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й
13,Тамал,там,n,"super,essive",тама-л
14,къушари,къуш,n,"pl,erg",къуш-ари
15,ван,ван,n,"abs",ван
16,ацалднавай,ацалд,verb,"prf,pst",ацалд-нава-й
17,Гьа,гьа,prn,"",гьа
18,и,и,prn,"",и
19,арада,ара,n,"in,essive",арад-а
20,фадлай,фадлай,adj,"",фадлай
21,недай,не,verb,"fut,ptp",не-да-й
22,затӀ,затӀ,n,"abs",затӀ
23,матӀ,матӀ,n,"abs",матӀ
24,жагъун,жагъу,verb,"per",жагъу-н
25,тавунвай,аву,verb,"neg,prf,ptp",т-аву-нва-й
26,рехи,рехи,adj,"",рехи
27,жанавур,жанавур,n,"abs",жанавур
28,тамун,там,n,"gen",таму-н
29,жигъирдай,жигъир,n,"in,elative",жигъирд-а-й
30,тӀуз,тӀуз,postp,"",тӀуз
31,вич,вич,prn,"",вич
32,масабуруз,маса,adj,"pl,dat",маса-буру-з
33,такурай,,negаку,"verb,opt",т-аку-рай
34,лугьуз,лугьу,verb,"inf",лугьу-з
35,яваш,яваш,adv,"",яваш
36,яваш,яваш,adv,"",яваш
37,инихъ,инихъ,adv,"",инихъ
38,анихъ,анихъ,adv,"",анихъ
39,килигиз,килиг,verb,"inf",килиг-из
40,виликди,виликди,adv,"",виликди
41,физвай,фи,verb,"imperf,ptp",фи-зва-й
42,Заз,зун,prn,"dat",за-з
43,акуна,аку,verb,"aor",аку-на
44,заз,зун,prn,"dat",за-з
45,акуна,аку,verb,"aor",аку-на
46,гьарайна,гьарай,verb,"aor",гьарай-на
47,пипин,пипин,adj,"",пипин
48,тарцин,тар,n,"gen",тарци-н
49,кӀукӀни,кӀукӀ,n,"add",кӀукӀ-ни
50,кукӀва,кукӀв,n,"in,essive",кукӀв-а
51,ацукьнавай,ацукь,verb,"prf,ptp",ацукь-нава-й
52,керекулди,керекул,n,"erg",керекул-ди
53,И,и,prn,"",и
54,керекул,керекул,n,"abs",керекул
55,акьван,акьван,part,"",акьван
56,гьахълуди,гьахълу,adj,"sg,abs",гьахълу-ди
57,тир,я,cop,"prf",тир
58,хьи,хьи,part,"",хьи
59,адакай,а,prn,"sg,sub,elative",ада-к-ай
60,чуьлдин,чуьл,n,"gen",чуьлди-н
61,тамун,там,n,"gen",таму-н
62,гзаф,гзаф,adv,"",гзаф
63,гьайванриз,гьайван,n,"pl,dat",гьайван-ри-з
64,куьмек,куьмек,n,"abs",куьмек
65,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й
66,Кис,кис,verb,"imper",кис
67,мердимазар,мердимазар,adj,"",мердимазар
68,ваз,вун,prn,"dat",ва-з
69,аквазвачни,аква,verb,"imperf,neg,inter",аква-зва-ч-ни
70,зал,зун,prn,"super,essive",за-л
71,алай,ала,cop,"ptp",ала-й
72,гьал,гьал,n,"abs",гьал
73,Зи,зун,prn,"gen",зи
74,яцӀу,яцӀу,adj,"",яцӀу
75,ратари,рат,n,"pl,erg",рат-ари
76,шуькӀуь,шуькӀуь,adj,"",шуькӀуь
77,ратар,рат,n,"pl,abs",рат-ар
78,незва,не,verb,"imperf",не-зва
79,зун,зун,prn,"",зун
80,фидайла,фи,verb,"fut,ptp,temp",фи-да-й-ла
81,гагь,гагь,adv,"",гагь
82,и,и,prn,"",и
83,пата,пад,n,"in,essive",пат-а
84,гагь,гагь,adv,"",гагь
85,а,а,prn,"",а
86,пата,пад,n,"erg",пад<n>><in><essive>
87,акьазва,акьа,verb,"imperf",акьа-зва
88,лагьана,лагьа,verb,"aor",лагьа-на
89,жанавурди,жанавур,n,"erg",жанавур-ди
90,За,зун,prn,"erg",за
91,ваз,вун,prn,"dat",ва-з
92,кис,кис,verb,"imper",кис
93,лугьузвачни,лугьу,verb,"imperf,neg,inter",лугьу-зва-ч-ни
94,лагълагьчи,лагълагьчи,n,"abs",лагълагьчи
95,Кис,кис,verb,"per",кис
96,тавуртӀа,аву,verb,"neg,aor,ptp,cnd",т-аву-р-тӀа
97,вавай,вун,prn,"ad,elative",ва-в-ай
98,заз,зун,prn,"dat",за-з
99,вуч,вуч,prn,"",вуч
100,жеда,же,verb,"fut",же-да
101,Зун,зун,prn,"",зун
102,вун,вун,prn,"",вун
103,хьтин,хьтин,part,"",хьтин
104,тарашчи,тарашчи,n,"abs",тарашчи
105,туш,я,cop,"neg",туш
106,Ша,ша,verb,"imper",ша
107,чун,чун,prn,"",чун
108,дуст,дуст,n,"abs",дуст
109,жен,же,verb,"hort",же-н
110,керекул,керекул,n,"abs",керекул
111,Завай,зун,prn,"ad,elative",за-в-ай
112,гишила,гишила,adv,"",гишила
113,мад,мад,adv,"",мад
114,къекъвез,къекъве,verb,"inf",къекъве-з
115,жезмач,же,verb,"imperf.cont,neg",же-зма-ч
116,Зун,зун,prn,"",зун
117,инал,инал,adv,"",инал
118,акъвазин,акъваз,verb,"hort",акъваз-ин
119,вуна,вун,prn,"erg",вуна
120,фена,фе,verb,"aoc",фе-на
121,хуьруьн,хуьр,n,"gen",хуьруь-н
122,уьруьшрилай,уьруьш,n,"pl,super,elative",уьруьш-ри-л-ай
123,цӀар,цӀар,n,"abs",цӀар
124,илитӀа,илитӀа,verb,"imper",илитӀа
125,Гьинал,гьинал,adv,"",гьинал
126,кас,кас,n,"abs",кас
127,галачиз,галачиз,postp,"",галачиз
128,тек,тек,adj,"",тек
129,мал,мал,n,"abs",мал
130,тек,тек,adj,"",тек
131,хеб,хеб,n,"abs",хеб
132,алатӀа,ала,cop,"cnd",ала-тӀа
133,заз,зун,prn,"dat",за-з
134,хабар,хабар,n,"abs",хабар
135,це,це,verb,"imper",це
136,Ви,вун,prn,"gen",ви
137,пайни,пай,n,"add",пай-ни
138,за,зун,prn,"erg",за
139,рикӀелай,рикӀ,n,"super,elative",рикӀе-л-ай
140,алуддач,алуд,verb,"fut,neg",алуд-да-ч
141,рикӀяй,рикӀ,n,"in,elative",рикӀ-я-й
142,фикирна,фикир,verb,"aor",фикир-на
143,керекулди,керекул,n,"erg",керекул-ди
144,Амма,амма,conj,"",амма
145,жанавурдиз,жанавур,n,"dat",жанавурди-з
146,ада,а,prn,"sg,erg",ада
147,вич,вич,prn,"",вич
148,и,и,prn,"",и
149,икьрардал,икьрар,n,"super,essive",икьрарда-л
150,рази,рази,adj,"",рази
151,тирди,я,cop,"ptp,sg,abs",тир-ди
152,малумарна,малумар,verb,"aor",малумар-на
153,АкӀ,акӀ,adv,"",акӀ
154,хьайила,хьа,verb,"aor,ptp,temp",хьа-йи-ла
155,зун,зун,prn,"",зун
156,хкведалди,хкве,verb,"postr",хкве-далди
157,вун,вун,prn,"",вун
158,санизни,саниз,adv,"add",саниз-ни
