id,word,stem,pos,tags,sep_form
0,Урусатдин,урусат,n,"gen",урусатди-н
1,цуьк,цуьк,n,"abs",цуьк
2,Иштиракзавай,иштирак,verb,"imperf,ptp",иштирак-зава-й
3,ксар,кас,n,"pl,abs",кс-ар
4,Зина,Зина,n,"abs",Зина
5,Казакова,Казакова,n,"abs",Казакова
6,зоотехник,зоотехник,n,"abs",зоотехник
7,хуьруьн,хуьр,n,"gen",хуьруь-н
8,майишатдин,майишат,n,"gen",майишатди-н
9,илимрин,илим,n,"pl,gen",илим-ри-н
10,кандидат,кандидат,n,"abs",кандидат
11,Самур,Самур,n,"abs",Самур
12,совхоздин,совхоз,n,"gen",совхозди-н
13,отделениедин,отделение,n,"gen",отделениеди-н
14,заведующий,заведующий,n,"abs",заведующий
15,Аслан,Аслан,n,"abs",Аслан
16,Али,Али,n,"abs",Али
17,чубанар,чубан,n,"pl,abs",чубан-ар
18,Мержан,Мержан,n,"abs",Мержан
19,Забуран,Забур,n,"gen",Забура-н
20,вах,вах,n,"abs",вах
21,Ажай,Ажай,n,"abs",Ажай
22,Аслананни,Аслан,n,"gen,add",Аслана-н-ни
23,Перидин,Пери,n,"gen",Периди-н
24,баде,баде,n,"abs",баде
25,Варис,Варис,n,"abs",Варис
26,ниси,ниси,n,"abs",ниси
27,ийидай,ийи,verb,"fut,ptp",ийи-да-й
28,заводдин,завод,n,"gen",заводди-н
29,устӀар,устӀар,n,"abs",устӀар
30,Забур,Забур,n,"abs",Забур
31,зоотехник,зоотехник,n,"abs",зоотехник
32,хуьруьн,хуьр,n,"gen",хуьруь-н
33,майишатдин,майишат,n,"gen",майишатди-н
34,илимрин,илим,n,"pl,gen",илим-ри-н
35,кандидат,кандидат,n,"abs",кандидат
36,Рагьим,Рагьим,n,"abs",Рагьим
37,хуьруьн,хуьр,n,"gen",хуьруь-н
38,агъсакъал,агъсакъал,n,"abs",агъсакъал
39,Совхоздин,совхоз,n,"gen",совхозди-н
40,рабочияр,рабочи,n,"pl,abs",рабочи-яр
41,рушарни,руш,n,"pl,abs,add",руш-ар-ни
42,гадаяр,гада,n,"pl,abs",гада-яр
43,И,и,prn,"",и
44,комедияда,комедия,n,"in,essive",комедияд-а
45,дагъдин,дагъ,n,"gen",дагъди-н
46,хуьре,хуьр,n,"in,essive",хуьр-е
47,намусдалди,намус,n,"super,directive",намусда-л-ди
48,зегьмет,зегьмет,n,"abs",зегьмет
49,чӀугвазвай,чӀугва,verb,"imperf,ptp",чӀугва-зва-й
50,жегьилрикай,жегьил,n,"pl,sub,elative",жегьил-ри-к-ай
51,абурун,а,prn,"pl,gen",абуру-н
52,гьерекатрикай,гьерекат,n,"pl,sub,elative",гьерекат-ри-к-ай
53,ва,ва,conj,"",ва
54,алакъайрикай,алакъа,n,"pl,sub,elative",алакъа-йри-к-ай
55,суьгьбет,суьгьбет,verb,"per",суьгьбет
56,физва,фи,verb,"imperf",фи-зва
57,Жегьилри,жегьил,n,"pl,erg",жегьил-ри
58,чпин,чеб,prn,"gen",чпи-н
59,кьисмет,кьисмет,n,"abs",кьисмет
60,икӀ,икӀ,conj,"",икӀ
61,гьялунал,гьял,verb,"msd,super,essive",гьял-уна-л
62,вири,вири,prn,"",вири
63,рази,рази,adj,"",рази
64,жезва,же,verb,"imperf",же-зва
65,Агъадихъ,агъадихъ,adv,"",агъадихъ
66,комедиядин,комедия,n,"gen",комедияди-н
67,эхиримжи,эхиримжи,adj,"",эхиримжи
68,шикил,шикил,n,"abs",шикил
69,гузва,гу,verb,"imperf",гу-зва
70,Кьвед,кьвед,num,"",кьвед
71,лагьай,лагьай,ord,"",лагьай
72,перде,перде,n,"abs",перде
73,Вад,вад,num,"",вад
74,лагьай,лагьай,ord,"",лагьай
75,шикил,шикил,n,"abs",шикил
76,Яргъай,яргъай,adv,"",яргъай
77,зуьрнейринни,зуьрне,n,"pl,gen,add",зуьрне-йри-н-ни
78,далдамдин,далдам,n,"gen",далдамди-н
79,ванер,ван,n,"pl,abs",ван-ер
80,къведа,къве,verb,"fut",къве-да
81,абур,а,prn,"pl,abs",абур
82,къвердавай,къвердавай,adv,"",къвердавай
83,adv near мукьвал,мукьвал,adj,"",мукьвал<adv>
84,жеда,же,verb,"fut",же-да
85,Ура,ура,intj,"",ура
86,Свас,свас,n,"abs",свас
87,хтана,хта,verb,"aor",хта-на
88,Ажай,Ажай,n,"abs",Ажай
89,гьинва,гьи,adv,"be.in",гьин-ва
90,Ажай,Ажай,n,"abs",Ажай
91,Ажай,Ажай,n,"abs",Ажай
92,Чукурда,чукур,verb,"fut",чукур-да
93,За,зун,prn,"erg",за
94,исятда,исятда,adv,"",исятда
95,адаз,а,prn,"sg,dat",ада-з
96,эверда,эвер,verb,"fut",эвер-да
97,Акъваз,акъваз,verb,"imper",акъваз
98,Пери,Пери,n,"abs",Пери
99,Тади,тади,adj,"",тади
100,къачумир,къачу,verb,"prohib",къачу-мир
101,Рушар,руш,n,"pl,abs",руш-ар
102,Ша,ша,verb,"imper",ша
