id,word,stem,pos,tags,sep_form
0,Белижда,белиж,n,"in,essive",белижд-а
1,съезд,съезд,n,"abs",съезд
2,Июлдиз,июл,n,"dat",июлди-з
3,Белиждин,белиж,n,"gen",белижди-н
4,поселокда,поселок,n,"in,essive",поселокд-а
5,СССРдин,ссср,n,"gen",сссрди-н
6,йис,йис,n,"abs",йис
7,совхоздин,совхоз,n,"gen",совхозди-н
8,Культурадин,культура,n,"gen",культуради-н
9,дворецда,дворец,n,"in,essive",дворецд-а
10,лезгийрин,лезги,n,"pl,gen",лезги-йри-н
11,Садвал,садвал,n,"abs",садвал
12,тӀвар,тӀвар,n,"abs",тӀвар
13,ганвай,га,verb,"prf,ptp",га-нва-й
14,гьеракатдин,гьеракат,n,"gen",гьеракатди-н
15,съезд,съезд,n,"abs",съезд
16,кьиле,кьил,n,"in,essive",кьил-е
17,фена,фе,verb,"aor",фе-на
18,Еке,еке,adj,"",еке
19,зал,зал,n,"abs",зал
20,Яшамишрай,яшамиш,verb,"opt",яшамиш-рай
21,советрин,совет,n,"pl,gen",совет-ри-н
22,халкьарин,халкь,n,"pl,gen",халкь-ари-н
23,дуствал,дуствал,n,"abs",дуствал
24,Яшамишрай,яшамиш,verb,"opt",яшамиш-рай
25,лезги,лезги,adj,"",лезги
26,халкьдин,халкь,n,"gen",халкьди-н
27,садвал,садвал,n,"abs",садвал
28,ва,ва,conj,"",ва
29,маса,маса,adj,"",маса
30,лозунгри,лозунг,n,"pl,erg",лозунг-ри
31,безетмишнавай,безетмиш,verb,"prf,pst",безетмиш-нава-й
32,Съездда,съезд,n,"in,essive",съездд-а
33,иштиракун,иштирак,verb,"msd",иштирак-ун
34,патал,патал,postp,"",патал
35,Махачкъаладай,махачкъала,n,"in,elative",махачкъалад-а-й
36,Дербентдай,дербент,n,"in,elative",дербентд-а-й
37,Москвадай,москва,n,"in,elative",москвад-а-й
38,Бакудай,баку,n,"in,elative",бакуд-а-й
39,Сумгаитдай,сумгаит,n,"in,elative",сумгаитд-а-й
40,Нальчикдай,нальчик,n,"in,elative",нальчикд-а-й
41,Ахцегь,ахцегь,n,"abs",ахцегь
42,Кьурагь,кьурагь,n,"abs",кьурагь
43,Дербент,дербент,n,"abs",дербент
44,Хив,хив,n,"abs",хив
45,Табасаран,табасаран,n,"abs",табасаран
46,Къусар,къусар,n,"abs",къусар
47,Къуба,къуба,n,"abs",къуба
48,Хъачмас,хъачмас,n,"abs",хъачмас
49,Къуткъашен,къуткъашен,n,"abs",къуткъашен
50,районрай,район,n,"pl,in,elative",район-р-а-й
51,делегатар,делегат,n,"pl,abs",делегат-ар
52,атанвай,ата,verb,"prf,pst",ата-нва-й
53,Залда,зал,n,"in,essive",залд-а
54,съезддин,съезд,n,"gen",съездди-н
55,делегатарни,делегат,n,"pl,abs,add",делегат-ар-ни
56,мугьманар,мугьман,n,"pl,abs",мугьман-ар
57,касдилай,кас,n,"super,elative",касди-л-ай
58,гзаф,гзаф,adv,"",гзаф
59,авай,ава,cop,"prf",ава-й
60,Садвал,садвал,n,"abs",садвал
61,гьерекатдин,гьерекат,n,"gen",гьерекатди-н
62,съезд,съезд,n,"abs",съезд
63,Бакуда,баку,n,"in,essive",бакуд-а
64,цӀи,цӀи,adv,"",цӀи
65,ачухнавай,ачух,verb,"prf,ptp",ачух-нава-й
66,Хважанжан,хважанжан,n,"abs",хважанжан
67,тӀвар,тӀвар,n,"abs",тӀвар
68,алай,ала,cop,"ptp",ала-й
69,издательстводин,издательство,n,"gen",издательстводи-н
70,редактор,редактор,n,"abs",редактор
71,шаир,шаир,n,"abs",шаир
72,Изет,изет,n,"abs",изет
73,Шерифова,шерифов,n,"erg",шерифов-а
74,ачухна,ачух,verb,"aor",ачух-на
75,Президиум,президиум,n,"abs",президиум
76,хкягъайдалай,хкягъ,verb,"aor,ptp,sg,super,elative",хкягъ-ай-да-л-ай
77,гуьгъуьниз,гуьгъуьниз,postp,"",гуьгъуьниз
78,доклад,доклад,n,"abs",доклад
79,авун,аву,verb,"msd",аву-н
80,патал,патал,postp,"",патал
81,гаф,гаф,n,"abs",гаф
82,Дагпединститутдин,дагпединститут,n,"gen",дагпединститутди-н
83,профессор,профессор,n,"abs",профессор
84,Абдурагьимоваз,абдурагьимов,n,"dat",абдурагьимова-з
85,гана,га,verb,"aor",га-на
86,Ада,а,prn,"sg,erg",ада
87,авур,аву,verb,"aor,ptp",аву-р
88,Лезгистан,лезгистан,n,"abs",лезгистан
89,тарих,тарих,n,"abs",тарих
90,делилар,делил,n,"pl,abs",делил-ар
91,вакъиаяр,вакъиа,n,"pl,abs",вакъиа-яр
92,докладдихъ,доклад,n,"post,essive",докладди-хъ
93,кӀватӀ,кӀватӀ,n,"abs",кӀватӀ
94,хьанвайбуру,хьа,verb,"prf,ptp,pl,erg",хьа-нва-й-буру
95,дикъетдивди,дикъет,n,"ad,directive",дикъетди-в-ди
96,яб,яб,n,"abs",яб
97,акална,акал,verb,"aor",акал-на
98,Докладчиди,докладчи,n,"erg",докладчи-ди
99,тайин,тайин,adj,"",тайин
100,делилрал,делил,n,"pl,super,essive",делил-ра-л
101,рекъемрал,рекъем,n,"pl,super,essive",рекъем-ра-л
102,бинеламиш,бинеламиш,n,"abs",бинеламиш
103,хьуналди,хьу,verb,"msd,super,directive",хьу-н-ал-ди
104,дегьзаманрилай,дегьзаман,n,"pl,super,elative",дегьзаман-ри-л-ай
105,инихъ,инихъ,postp,"",инихъ
106,лезги,лезги,adj,"",лезги
107,халкь,халкь,n,"abs",халкь
108,фейи,фе,verb,"aor,ptp",фе-йи
109,рекьел,рехъ,n,"super,essive",рекье-л
110,адан,а,prn,"sg,gen",ада-н
111,гьал,гьал,n,"abs",гьал
112,агьвалдал,агьвал,n,"super,essive",агьвалда-л
113,яшайишдал,яшайиш,n,"super,essive",яшайишда-л
114,культурадал,культура,n,"super,essive",культурада-л
115,экономикадал,экономика,n,"super,essive",экономикада-л
116,тарихдал,тарих,n,"super,essive",тарихда-л
117,искусстводал,искусство,n,"super,essive",искусствода-л
118,алай,ала,cop,"ptp",ала-й
119,вахтунда,вахт,n,"in,essive",вахтунд-а
120,чеб,чеб,prn,"",чеб
121,гьалун,гьал,verb,"msd",гьал-ун
122,хцидаказ,хцидаказ,adv,"",хцидаказ
123,истемишзавай,истемиш,verb,"imperf,ptp",истемиш-зава-й
124,месэлайрал,месэла,n,"pl,super,essive",месэла-йра-л
125,кӀватӀ,кӀватӀ,verb,"per",кӀватӀ
126,хьанвайбурун,хьа,verb,"prf,ptp,pl,gen",хьа-нва-й-буру-н
127,фикир,фикир,n,"abs",фикир
128,желбна,желб,verb,"aor",желб-на
129,Советрин,совет,n,"pl,gen",совет-ри-н
130,власть,власть,n,"abs",власть
131,жедалди,же,verb,"postr",же-далди
132,лагьана,лагьа,verb,"aor",лагьа-на
133,ада,а,prn,"sg,erg",ада
134,чапхунчийрихъ,чапхунчи,n,"pl,post,essive",чапхунчи-йри-хъ
135,галаз,галаз,postp,"",галаз
136,кьиле,кьил,n,"in,essive",кьил-е
137,фейи,фе,verb,"aor,ptp",фе-йи
138,дявейри,дяве,n,"pl,erg",дяве-йри
139,гзаф,гзаф,adv,"",гзаф
140,лезгияр,лезги,n,"pl,abs",лезги-яр
141,телеф,телеф,verb,"per",телеф
142,хьунал,хьу,verb,"msd,super,essive",хьу-на-л
143,халкьдин,халкь,n,"gen",халкьди-н
144,руьгьдин,руьгь,n,"gen",руьгьди-н
145,ва,ва,conj,"",ва
146,материальный,материальный,adj,"",материальный
147,культура,культура,n,"abs",культура
148,кӀватунал,кӀват,verb,"msd,super,essive",кӀват-уна-л
149,кхьинрин,кхьи,verb,"msd,pl,gen",кхьи-н-ри-н
150,архитектурадин,архитектура,n,"gen",архитектуради-н
151,памятникар,памятник,n,"pl,abs",памятник-ар
152,девлетар,девлет,n,"pl,abs",девлет-ар
153,пуч,пуч,verb,"per",пуч
154,хьунал,хьу,verb,"msd,super,essive",хьу-на-л
155,гъана,гъа,verb,"aor",гъа-на
156,Ихьтин,ихьтин,adv,"",ихьтин
157,еке,еке,adj,"",еке
158,магьрумвилеризни,магьрумвил,n,"pl,dat,add",магьрумвил-ери-з-ни
159,килиг,килиг,verb,"per",килиг
160,тавуна,аву,verb,"neg,aoc",т-аву-на
161,халкьдилай,халкь,n,"super,elative",халкьди-л-ай
162,вичин,вич,prn,"gen",вичи-н
163,хайи,хайи,adj,"",хайи
164,чил,чил,n,"abs",чил
165,руьгьдин,руьгь,n,"gen",руьгьди-н
166,багьа,багьа,adj,"",багьа
167,девлет,девлет,n,"abs",девлект
168,тир,я,cop,"ptp",тир
169,чӀал,чӀал,n,"abs",чӀал
170,адетар,адет,n,"pl,abs",адет-ар
171,халкьдин,халкь,n,"gen",халкьди-н
172,яратмишунар,яратмиш,verb,"msd,pl",яратмиш-ун-ар
173,хуьз,хуь,verb,"inf",хуь-з
174,ва,ва,conj,"",ва
175,несилрилай,несил,n,"pl,super,elative",несил-ри-л-ай
176,несилрал,несил,n,"pl,super,essive",несил-ра-л
177,агакьариз,агакьар,verb,"inf",агакьар-из
178,алакьна,алакь,verb,"aor",алакь-на
179,Гьа,гьа,prn,"",гьа
180,и,и,prn,"",и
181,кардай,кар,n,"in,elative",кард-а-й
182,чна,чун,prn,"erg",чна
183,адаз,а,prn,"sg,dat",ада-з
184,юкь,юкь,n,"abs",юкь
185,агъузна,агъуз,verb,"aoc",агъуз-на
186,икрам,икрам,n,"abs",икрам
187,авуналди,аву,verb,"msd,super,directive",аву-на-л-ди
188,баркалла,баркалла,intj,"",баркалла
189,лугьузва,лугьу,verb,"imperf",лугьу-зва
190,Докладчиди,докладчи,n,"erg",докладчи-ди
191,лезги,лезги,adj,"",лезги
192,халкьдин,халкь,n,"gen",халкьди-н
193,тарихда,тарих,n,"in,essive",тарихд-а
194,чпиз,чеб,prn,"dat",чпи-з
195,чка,чка,n,"abs",чка
196,хьайи,хьа,verb,"aor,ptp",хьа-йи
197,хейлин,хейлин,adj,"",хейлин
198,маса,маса,adj,"",маса
199,чӀулав,чӀулав,adj,"",чӀулав
200,лекейриз,леке,n,"pl,dat",леке-йри-з
201,талукь,талукь,adj,"",талукь
202,гзаф,гзаф,adv,"",гзаф
203,делиларни,делил,n,"pl,abs,add",делил-ар-ни
204,гъана,гъа,verb,"aor",гъа-на
205,Са,са,num,"",са
206,чкадал,чка,n,"super,essive",чкада-л
207,ленг,ленг,verb,"per",ленг
208,хьана,хьа,verb,"aoc",хьа-на
209,акъатай,акъат,verb,"aor,ptp",акъат-ай
210,йисара,йис,n,"pl,in,essive",йис-ар-а
211,чи,чун,prn,"gen",чи
212,районрай,район,n,"pl,in,elative",район-р-а-й
213,хейлин,хейлин,adj,"",хейлин
214,хуьрерин,хуьр,n,"pl,gen",хуьр-ери-н
215,жемятар,жемят,n,"pl,abs",жемят-ар
216,вичин,вич,prn,"gen",вичи-н
217,халкьдивай,халкь,n,"ad,elative",халкьди-в-ай
218,яргъа,яргъа,adj,"",яргъа
219,авай,ава,cop,"ptp",ава-й
220,районриз,район,n,"pl,dat",район-ри-з
221,куьчарна,куьчар,verb,"aor",куьчар-на
222,абуру,а,prn,"pl,erg",абуру
223,хеб,хеб,n,"abs",хеб
224,мал,мал,n,"abs",мал
225,хуьзвай,хуь,verb,"imperf,ptp",хуь-зва-й
226,чӀурар,чӀур,n,"pl,abs",чӀур-ар
227,и,и,prn,"",и
228,кар,кар,n,"abs",кар
229,патал,патал,postp,"",патал
230,маса,маса,adj,"",маса
231,районрин,район,n,"pl,gen",район-ри-н
232,майишатриз,майишат,n,"pl,dat",майишат-ри-з
233,чара,чара,n,"abs",чара
234,авуна,аву,verb,"aor",аву-на
235,Азербайжандин,азербайжан,n,"gen",азербайжанди-н
236,институтра,институт,n,"pl,in,essive",институт-р-а
237,кӀелзавай,кӀел,verb,"imperf,ptp",кӀел-зава-й
238,азербайжан,азербайжан,adj,"",азербайжан
239,студентриз,студент,n,"pl,dat",студент-ри-з
240,стипендия,стипендия,n,"abs",стипендия
241,гудайла,гу,verb,"fut,ptp,temp",гу-да-й-ла
242,лезги,лезги,adj,"",лезги
243,студентар,студент,n,"pl,abs",студент-ар
244,анра,ан>,pl,"in,essive",ан-р-а
245,кӀелунай,кӀел,verb,"msd,in,elative",кӀел-ун-а-й
246,чеб,чеб,prn,"",чеб
247,институтриз,институт,n,"pl,dat",институт-ри-з
248,гьакъи,гьакъи,n,"abs",гьакъи
249,гуниз,гу,verb,"msd,dat",гу-ни-з
250,мажбур,мажбур,adj,"",мажбур
251,авуна,аву,verb,"aor",аву-на
252,Амма,амма,conj,"",амма
253,гьар,гьар,prn,"",гьар
254,са,са,num,"",са
255,чӀуру,чӀуру,adj,"",чӀуру
256,кардин,кар,n,"gen",карди-н
257,эхир,эхир,n,"abs",эхир
258,жедайвал,же,verb,"fut,ptp,man",же-да-й-вал
259,чи,чун,prn,"gen",чи
260,халкьдин,халкь,n,"gen",халкьди-н
261,кьилел,кьил,n,"super,essive",кьиле-л
262,атай,ата,verb,"aor,ptp",ата-й
263,бедбахтвилерин,бедбахтвил,n,"pl,gen",бедбахтвил-ери-н
264,эхирни,эхир,n,"add",эхир-ни
265,мукьвал,мукьвал,adj,"",мукьвал
266,жезва,же,verb,"imperf",же-зва
267,И,и,prn,"",и
268,йикъара,йикъ,n,"pl,in,essive",йикъ-ар-а
269,кьиле,кьил,n,"in,essive",кьил-е
270,фейи,фе,verb,"aor,ptp",фе-йи
271,Советрин,совет,n,"pl,gen",совет-ри-н
272,Союздин,союз,n,"gen",союзди-н
273,Коммунистрин,коммунист,n,"pl,gen",коммунист-ри-н
274,партиядин,партия,n,"gen",партияди-н
275,съезддин,съезд,n,"gen",съездди-н
276,Инсанпересвилин,инсанпересвил,n,"gen",инсанпересвили-н
277,демократический,демократический,adj,"",демократический
278,социализмдихъ,социализм,n,"post,essive",социализмди-хъ
279,кьил,кьил,n,"abs",кьил
280,ганвай,га,verb,"prf,ptp",га-нва-й
281,программный,программный,adj,"",программный
282,малуматда,малумат,n,"in,essive",малуматд-а
283,къейднавайвал,къейд,verb,"prf,ptp,man",къейд-нава-й-вал
284,миллетри,миллет,n,"pl,erg",миллет-ри
285,та,та,postp,"",та
286,чара,чара,adj,"",чара
287,хьунал,хьу,verb,"msd,super,essive",хьу-на-л
288,къведалди,къве,verb,"postr",къве-далди
289,чпин,чеб,prn,"gen",чпи-н
290,кьисмет,кьисмет,n,"abs",кьисмет
291,чпи,чеб,prn,"erg",чпи
292,тайинарунин,тайинар,verb,"msd,gen",тайинар-уни-н
293,ихтияр,ихтияр,n,"abs",ихтияр
294,гьисаба,гьисаба,verb,"per",гьисаба
295,кьунал,кьун,n,"super,essive",кьуна-л
296,бинеламиш,бинеламиш,verb,"per",бинеламиш
296,бинеламиш,бинеламиш,adj,"",бинеламиш
297,жезва,же,verb,"imperf",же-зва
298,Ихьтин,ихьтин,adv,"",ихьтин
299,зурба,зурба,adj,"",зурба
300,дегишвилер,дегишвил,n,"pl,abs",дегишвил-ер
301,мумкинвилер,мумкинвил,n,"pl,abs",мумкинвил-ер
302,гьелбетда,гьелбетда,part,"",гьелбетда
303,перестройкадихъ,перестройка,n,"post,essive",перестройкади-хъ
304,дуьнья,дуьнья,n,"abs",дуьнья
305,цӀийикӀа,цӀийикӀа,adv,"",цӀийикӀа
306,туькӀуьр,туькӀуьр,verb,"per",туькӀуьр
307,хъувунин,хъуву,verb,"msd,gen",хъуву-ни-н
308,советрин,совет,n,"pl,gen",совет-ри-н
