id,word,stem,pos,tags,sep_form
0,Билбил,билбил,n,"abs",билбил
1,ХупӀ,хупӀ,part,"",хупӀ
2,рахада,раха,verb,"fut",раха-да
3,билбил,билбил,n,"abs",билбил
4,сегьер,сегьер,n,"abs",сегьер
5,вахтунда,вахт,n,"in,essive",вахтунд-а
6,Са,са,num,"",са
7,гъамни,гъам,n,"add",гъам-ни
8,авачир,ава,cop,"neg,ptp",ава-ч-ир
9,гьайван,гьайван,n,"abs",гьайван
10,бахтавар,бахтавар,adj,"",бахтавар
11,Цуькверивди,цуьк,n,"pl,ad,directive",цуькв-ери-в-ди
12,дигай,дига,verb,"aor,ptp",диг-ай
13,гатфар,гатфар,n,"abs",гатфар
14,вахтунда,вахт,n,"in,essive",вахтунд-а
15,Гьала,гьала,verb,"imper",гьала
16,гила,гила,adv,"",гила
17,жуваз,жув,prn,"dat",жува-з
18,девран,девран,n,"abs",девран
19,бахтавар,бахтавар,n,"abs",бахтавар
20,Шумудни,шумуд,prn,"add",шумуд-ни
21,са,са,num,"",са
22,нагъма,нагъма,n,"abs",нагъма
23,кӀелда,кӀел,verb,"fut",кӀел-да
24,ви,вун,prn,"gen",ви
25,назди,наз,n,"erg",наз-ди
26,Гьар,гьар,prn,"",гьар
27,са,са,num,"",са
28,тегьер,тегьер,n,"abs",тегьер
29,рахаз,раха,verb,"inf",раха-з
30,гьар,гьар,prn,"",гьар
31,са,са,num,"",са
32,авазди,аваз,n,"erg",аваз-ди
33,ХъуьтӀуьз,кьуьд,n,"dat",хъуьтӀуь-з
34,тади,тади,n,"abs",тади
35,гана,га,verb,"aor",га-на
36,хупӀ,хупӀ,adv,"",хупӀ
37,ваз,вун,prn,"dat",ва-з
38,аязди,аяз,n,"erg",аяз-ди
39,Гила,гила,adv,"",гила
40,ачух,ачух,adj,"",ачух
41,я,я,cop,"imperf",я
42,ваз,вун,prn,"dat",ва-з
43,майдан,майдан,n,"abs",майдан
44,бахтавар,бахтавар,n,"abs",бахтавар
45,Цуькверивди,цуьк,n,"pl,ad,directive",цуькв-ери-в-ди
46,дигай,дига,verb,"aor,ptp",диг-ай
47,гатфар,гатфар,n,"abs",гатфар
48,вахтунал,вахт,n,"super,essive",вахтуна-л
49,КӀанзава,кӀан,verb,"imperf",кӀан-зава
50,ваз,вун,prn,"dat",ва-з
51,ацукь,ацукь,verb,"imper",ацукь
52,цуьквер,цуьк,n,"pl,abs",цуькв-ер
53,тахтунал,тахт,n,"super,essive",тахтуна-л
54,Амай,ама,cop,"ptp",ама-й
55,ничхиррин,ничхир,n,"pl,gen",ничхир-ри-н
56,из,и,verb,"inf",и-з
57,дуван,дуван,n,"abs",дуван
58,бахтавар,бахтавар,n,"abs",бахтавар
59,Цуькверивди,цуьк,n,"pl,ad,directive",цуькв-ери-в-ди
60,къугъун,къугъу,verb,"msd",къугъу-н
61,я,я,cop,"imperf",я
62,ви,вун,prn,"gen",ви
63,кӀвалахар,кӀвалах,n,"pl,abs",кӀвалах-ар
64,Чуьллера,чуьл,n,"pl,in,essive",чуьл-лер-а
65,хъваз,хъва,verb,"inf",хъва-з
66,таза,таза,adj,"",таза
67,къайи,къайи,adj,"",къайи
68,булахар,булах,n,"pl,abs",булах-ар
69,Рахаз,раха,verb,"inf",раха-з
70,гьар,гьар,prn,"",гьар
71,са,са,num,"",са
72,аваз,аваз,n,"abs",аваз
73,ийиз,ийи,verb,"inf",ийи-з
74,дамахар,дамах,n,"pl,abs",дамах-ар
75,Ашкъи,ашкъи,n,"abs",ашкъи
76,гьавалу,гьавалу,adj,"",гьавалу
77,я,я,cop,"imperf",я
78,ваз,вун,prn,"dat",ва-з
79,кьарар,кьар,n,"pl,abs",кьар-ар
80,авач,ава,cop,"neg",ава-ч
81,ХъуьтӀуьн,кьуьд,n,"gen",хъуьтӀуь-н
82,зегьмет,зегьмет,n,"abs",зегьмет
83,амач,ама,cop,"neg",ама-ч
84,ваз,вун,prn,"dat",ва-з
85,хабар,хабар,n,"abs",хабар
86,авач,ава,cop,"neg",ава-ч
87,Етим,етим,n,"abs",етим
88,Эминан,эмин,n,"gen",эмина-н
89,гъамни,гъам,n,"add",гъам-ни
90,гьижран,гьижран,n,"abs",гьижран
91,бахтавар,бахтавар,n,"abs",бахтавар
