id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
0,Белижда,,,,,1
1,съезд,съезд,n,abs,съезд,0
2,Июлдиз,,,,,1
3,Белиждин,,,,,1
4,поселокда,поселок,n,"in,essive",поселокд-а,0
5,СССРдин,,,,,1
6,йис,йис,n,abs,йис,0
7,совхоздин,совхоз,n,gen,совхозди-н,0
8,Культурадин,культура,n,gen,культуради-н,0
9,дворецда,,,,,1
10,лезгийрин,лезги,n,"pl,gen",лезги-йри-н,0
11,Садвал,,,,,1
12,тӀвар,тӀвар,n,abs,тӀвар,0
13,ганвай,га,verb,"prf,ptp",га-нва-й,0
13,ганвай,га,verb,"prf,pst",га-нва-й,0
14,гьеракатдин,,,,,1
15,съезд,съезд,n,abs,съезд,0
16,кьиле,кьил,n,erg,кьил-е,0
16,кьиле,кьил,n,"in,essive",кьил-е,0
17,фена,фе,verb,aor,фе-на,0
17,фена,фе,verb,aoc,фе-на,0
18,Еке,еке,adj,,еке,0
18,Еке,еке,adv,,еке,0
19,зал,зал,n,abs,зал,0
19,зал,зун,prn,"super,essive",за-л,0
20,Яшамишрай,яшамишрай,intj,,яшамишрай,0
21,советрин,советрин,adj,,советрин,0
21,советрин,совет,n,"pl,gen",совет-ри-н,0
22,халкьарин,халкь,n,"pl,gen",халкь-ари-н,0
23,дуствал,,,,,1
24,Яшамишрай,яшамишрай,intj,,яшамишрай,0
25,лезги,лезги,adj,,лезги,0
25,лезги,лезги,n,abs,лезги,0
26,халкьдин,халкьдин,adj,,халкьдин,0
26,халкьдин,халкь,n,gen,халкьди-н,0
27,садвал,,,,,1
28,ва,ва,conj,,ва,0
28,ва,вун,prn,"in,essive",в-а,0
29,маса,маса,adj,,маса,0
30,лозунгри,лозунг,n,"pl,erg",лозунг-ри,0
31,безетмишнавай,безетмиш,verb,"prf,pst",безетмиш-нава-й,0
31,безетмишнавай,безетмиш,verb,"prf,ptp",безетмиш-нава-й,0
32,Съездда,съезд,n,"in,essive",съездд-а,0
33,иштиракун,,,,,1
34,патал,пад,n,"super,essive",пата-л,0
34,патал,патал,adj,,патал,0
34,патал,патал,adv,,патал,0
34,патал,патал,postp,,патал,0
35,Махачкъаладай,Махачкъала,n,"in,elative",Махачкъалад-а-й,0
36,Дербентдай,Дербент,n,"in,elative",Дербентд-а-й,0
37,Москвадай,Москва,n,"in,elative",Москвад-а-й,0
38,Бакудай,Баку,n,"in,elative",Бакуд-а-й,0
39,Сумгаитдай,,,,,1
40,Нальчикдай,,,,,1
41,Ахцегь,,,,,1
42,Кьурагь,кьурагь,adj,,кьурагь,0
43,Дербент,Дербент,n,abs,Дербент,0
44,Хив,гьи,prn,"ad,essive",хи-в,0
45,Табасаран,,,,,1
46,Къусар,,,,,1
47,Къуба,къуба,adj,,къуба,0
47,Къуба,къуба,n,abs,къуба,0
48,Хъачмас,,,,,1
49,Къуткъашен,,,,,1
50,районрай,район,n,"pl,in,elative",район-р-а-й,0
51,делегатар,делегат,n,"pl,abs",делегат-ар,0
52,атанвай,ата,verb,"prf,pst",ата-нва-й,0
52,атанвай,ата,verb,"prf,ptp",ата-нва-й,0
53,Залда,зал,n,"in,essive",залд-а,0
54,съезддин,съезд,n,gen,съездди-н,0
55,делегатарни,делегат,n,"pl,abs,add",делегат-ар-ни,0
56,мугьманар,мугьманар,verb,per,мугьманар,0
56,мугьманар,мугьман,n,"pl,abs",мугьман-ар,0
57,касдилай,,,,,1
58,гзаф,гзаф,adv,,гзаф,0
