id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
0,Билбил,билбил,n,abs,билбил,0
1,ХупӀ,хупӀ,adj,"",хупӀ,0
1,ХупӀ,хупӀ,adv,"",хупӀ,0
1,ХупӀ,хупӀ,n,abs,хупӀ,0
1,ХупӀ,хупӀ,part,"",хупӀ,0
2,рахада,раха,verb,fut,раха-да,0
3,билбил,билбил,n,abs,билбил,0
4,сегьер,сегьер,n,abs,сегьер,0
5,вахтунда,вахтунда,adv,"",вахтунда,0
6,Са,са,num,"",са,0
6,Са,са,adj,"",са,0
6,Са,са,part,"",са,0
7,гъамни,гъам,n,add,гъам-ни,0
8,авачир,ава,cop,"neg,pst",ава-ч-ир,0
8,авачир,ава,cop,"neg,ptp",ава-ч-ир,0
8,авачир,авачир,adj,,авачир,0
9,гьайван,гьайван,n,abs,гьайван,0
10,бахтавар,бахтавар,adj,"",бахтавар,0
10,бахтавар,бахтавар,n,abs,бахтавар,0
11,Цуькверивди,цуьк,n,"pl,ad,directive",цуькв-ери-в-ди,0
12,дигай,дигай,adj,"",дигай,0
12,дигай,дига,verb,"aor,ptp",дига-й,0
13,гатфар,гатфар,n,abs,гатфар,0
14,вахтунда,вахтунда,adv,"",вахтунда,0
15,Гьала,гьала,verb,imper,гьала,0
16,гила,гила,adv,"",гила,0
17,жуваз,жув,prn,dat,жува-з,0
18,девран,девран,n,abs,девран,0
19,бахтавар,бахтавар,adj,"",бахтавар,0
19,бахтавар,бахтавар,n,abs,бахтавар,0
20,Шумудни,шумуд,prn,add,шумуд-ни,0
21,са,са,num,"",са,0
21,са,са,adj,"",са,0
21,са,са,part,"",са,0
22,нагъма,нагъма,n,abs,нагъма,0
23,кӀелда,кӀел,verb,fut,кӀел-да,0
24,ви,вун,prn,gen,ви,0
25,назди,наз,n,erg,наз-ди,0
26,Гьар,гьар,prn,"",гьар,0
27,са,са,num,"",са,0
27,са,са,adj,"",са,0
27,са,са,part,"",са,0
28,тегьер,тегьер,n,abs,тегьер,0
29,рахаз,раха,verb,inf,раха-з,0
30,гьар,гьар,prn,"",гьар,0
31,са,са,num,"",са,0
31,са,са,adj,"",са,0
31,са,са,part,"",са,0
32,авазди,аваз,n,erg,аваз-ди,0
33,ХъуьтӀуьз,кьуьд,n,dat,хъуьтӀуь-з,0
33,ХъуьтӀуьз,хъуьтӀуьз,adv,"",хъуьтӀуьз,0
34,тади,тади,adj,"",тади,0
34,тади,тади,n,abs,тади,0
34,тади,та,verb,afut,та-ди,0
35,гана,га,verb,aoc,га-на,0
35,гана,га,verb,aor,га-на,0
36,хупӀ,хупӀ,adj,"",хупӀ,0
36,хупӀ,хупӀ,adv,"",хупӀ,0
36,хупӀ,хупӀ,n,abs,хупӀ,0
36,хупӀ,хупӀ,part,"",хупӀ,0
37,ваз,вун,prn,dat,ва-з,0
38,аязди,аяз,n,erg,аяз-ди,0
39,Гила,гила,adv,"",гила,0
40,ачух,ачух,adj,"",ачух,0
40,ачух,ачух,adv,"",ачух,0
40,ачух,ачух,verb,"per",ачух,0
41,я,я,cop,imperf,я,0
41,я,я,conj,,я,0
41,я,я,part,,я,0
42,ваз,вун,prn,dat,ва-з,0
43,майдан,майдан,n,abs,майдан,0
44,бахтавар,бахтавар,adj,"",бахтавар,0
44,бахтавар,бахтавар,n,abs,бахтавар,0
45,Цуькверивди,цуьк,n,"pl,ad,directive",цуькв-ери-в-ди,0
46,дигай,дигай,adj,"",дигай,0
46,дигай,дига,verb,"aor,ptp",дига-й,0
47,гатфар,гатфар,n,abs,гатфар,0
48,вахтунал,вахт,n,"super,essive",вахтуна-л,0
49,КӀанзава,кӀан,verb,imperf,кӀан-зава,0
50,ваз,вун,prn,dat,ва-з,0
51,ацукь,ацукь,verb,imper,ацукь,0
51,ацукь,ацукь,verb,per,ацукь,0
52,цуьквер,цуьк,n,"pl,abs",цуькв-ер,0
53,тахтунал,тахт,n,"super,essive",тахтуна-л,0
54,Амай,ама,cop,ptp,ама-й,0
54,Амай,ама,cop,pst,ама-й,0
54,Амай,амай,adj,,амай,0
55,ничхиррин,ничхир,n,"pl,gen",ничхир-ри-н,0
56,из,и,verb,inf,и-з,0
57,дуван,дуван,n,abs,дуван,0
57,дуван,дуван,verb,per,дуван,0
58,бахтавар,бахтавар,adj,"",бахтавар,0
58,бахтавар,бахтавар,n,abs,бахтавар,0
59,Цуькверивди,цуьк,n,"pl,ad,directive",цуькв-ери-в-ди,0
60,къугъун,къугъун,n,abs,къугъун,0
60,къугъун,къугъу,verb,per,къугъун,0
60,къугъун,къугъу,verb,msd,къугъу-н,0
61,я,я,cop,imperf,я,0
61,я,я,conj,,я,0
61,я,я,part,,я,0
62,ви,вун,prn,gen,ви,0
63,кӀвалахар,кӀвалахар,verb,per,кӀвалахар,0
63,кӀвалахар,кӀвалах,n,"pl,abs",кӀвалах-ар,0
64,Чуьллера,чуьл,n,"pl,in,essive",чуьл-лер-а,0
65,хъваз,хъва,verb,inf,хъва-з,0
66,таза,таза,adj,"",таза,0
67,къайи,къайи,adj,"",къайи,0
68,булахар,булах,n,"pl,abs",булах-ар,0
69,Рахаз,раха,verb,inf,раха-з,0
70,гьар,гьар,prn,"",гьар,0
71,са,са,adj,"",са,0
71,са,са,num,"",са,0
71,са,са,part,"",са,0
72,аваз,ава,cop,cvb,ава-з,0
73,ийиз,ийи,verb,inf,ийи-з,0
74,дамахар,дамахар,verb,per,дамахар,0
74,дамахар,дамах,n,"pl,abs",дамах-ар,0
75,Ашкъи,ашкъи,n,abs,ашкъи,0
76,гьавалу,гьавалу,adj,"",гьавалу,0
77,я,я,cop,imperf,я,0
77,я,я,conj,,я,0
77,я,я,part,,я,0
78,ваз,вун,prn,dat,ва-з,0
79,кьарар,кьар,n,"pl,abs",кьар-ар,0
80,авач,ава,cop,neg,ава-ч,0
81,ХъуьтӀуьн,кьуьд,n,gen,хъуьтӀуь-н,0
81,ХъуьтӀуьн,хъуьтӀуьн,adj,"",хъуьтӀуьн,0
82,зегьмет,зегьмет,n,abs,зегьмет,0
83,амач,ама,cop,neg,ама-ч,0
84,ваз,вун,prn,dat,ва-з,0
85,хабар,хабар,n,abs,хабар,0
85,хабар,хабар,verb,per,хабар,0
86,авач,ава,cop,neg,ава-ч,0
87,Етим,етим,adj,"",етим,0
87,Етим,етим,n,abs,етим,0
87,Етим,етим,verb,per,етим,0
88,Эминан,,,,,1
89,гъамни,гъам,n,add,гъам-ни,0
90,гьижран,гьижран,n,abs,гьижран,0
91,бахтавар,бахтавар,adj,"",бахтавар,0
91,бахтавар,бахтавар,n,abs,бахтавар,0
