id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
0,Кхьейдан,кхье,verb,"aor,ptp,sg,gen",кхье-й-да-н,0
1,патай,пад,n,"in,elative",пат-а-й,0
2,Эдебиятдин,эдебиятдин,adj,,эдебиятдин,0
2,Эдебиятдин,эдебият,n,gen,эдебиятди-н,0
3,чӀаланни,чӀал,n,"gen,add",чӀала-н-ни,0
4,орфографиядин,,,,,1
5,месэлаяр,месэла,n,"pl,abs",месэла-яр,0
6,гьял,гьял,verb,per,гьял,0
7,авун,аву,verb,msd,аву-н,0
8,са,са,num,,са,0
8,са,са,adj,,са,0
8,са,са,part,,са,0
9,акьван,акьван,adv,,акьван,0
9,акьван,акьван,n,abs,акьван,0
9,акьван,акьван,part,,акьван,0
10,регьят,регьят,adj,,регьят,0
10,регьят,регьят,adv,,регьят,0
11,тир,я,cop,ptp,тир,0
11,тир,я,cop,pst,тир,0
11,тир,тир,adj,,тир,0
11,тир,тир,n,abs,тир,0
12,кӀвалах,кӀвалах,n,abs,кӀвалах,0
12,кӀвалах,кӀвалах,verb,per,кӀвалах,0
13,туш,я,cop,neg,туш,0
14,Чи,чи,verb,,чи,0
14,Чи,чун,prn,gen,чи,0
15,лезгияр,лезги,n,"pl,abs",лезги-яр,0
16,хьтин,хьтин,part,,хьтин,0
17,жегьил,жегьил,adj,,жегьил,0
17,жегьил,жегьил,n,abs,жегьил,0
18,эдебият,эдебият,n,abs,эдебият,0
19,авай,ава,cop,ptp,ава-й,0
19,авай,ава,cop,pst,ава-й,0
19,авай,авай,adj,,авай,0
19,авай,авай,postp,,авай,0
20,халкьариз,халкь,n,"pl,dat",халкь-ари-з,0
21,и,и,prn,,и,0
22,месэлаяр,месэла,n,"pl,abs",месэла-яр,0
23,гьял,гьял,verb,per,гьял,0
24,авун,аву,verb,msd,аву-н,0
25,амайдалайни,амайдалайни,adv,,амайдалайни,0
26,четин,четин,adj,,четин,0
27,я,я,cop,imperf,я,0
27,я,я,conj,,я,0
27,я,я,part,,я,0
28,И,и,prn,,и,0
29,карда,кар,n,"in,essive",кард-а,0
29,карда,кар,verb,fut,кар-да,0
30,чаз,чун,prn,dat,ча-з,0
31,амай,ама,cop,ptp,ама-й,0
31,амай,ама,cop,pst,ама-й,0
31,амай,амай,adj,,амай,0
32,халкьариз,халкь,n,"pl,dat",халкь-ари-з,0
33,авай,ава,cop,ptp,ава-й,0
33,авай,ава,cop,pst,ава-й,0
33,авай,авай,adj,,авай,0
33,авай,авай,postp,,авай,0
34,хьтин,хьтин,part,,хьтин,0
35,нетижа,нетижа,n,abs,нетижа,0
36,авач,ава,cop,neg,ава-ч,0
37,Чи,чи,verb,,чи,0
37,Чи,чун,prn,gen,чи,0
38,рехъ,рехъ,n,abs,рехъ,0
31,амай,ама,cop,ptp,ама-й,0
31,амай,ама,cop,pst,ама-й,0
31,амай,амай,adj,,амай,0
40,халкьарин,халкь,n,"pl,gen",халкь-ари-н,0
41,рехъ,рехъ,n,abs,рехъ,0
42,хьиз,хьиз,conj,,хьиз,0
42,хьиз,хьиз,part,,хьиз,0
43,ачух,ачух,adj,,ачух,0
43,ачух,ачух,adv,,ачух,0
43,ачух,ачух,verb,per,ачух,0
44,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й,0
44,хьанвай,хьа,verb,"prf,pst",хьа-нва-й,0
44,хьанвай,хьанвай,adj,,хьанвай,0
45,рехъ,рехъ,n,abs,рехъ,0
46,туш,я,cop,neg,туш,0
47,Чна,чун,prn,erg,чна,0
48,гила,гила,adv,,гила,0
49,рекьер,рехъ,n,"pl,abs",рекь-ер,0
50,жугъурзава,,,,,1
51,За,зун,prn,erg,за,0
51,За,зун,prn,"in,essive",з-а,0
52,кхьенвай,кхье,verb,"prf,ptp",кхье-нва-й,0
52,кхьенвай,кхье,verb,"prf,pst",кхье-нва-й,0
53,и,и,prn,,и,0
54,ктабдал,ктаб,n,"super,essive",ктабда-л,0
55,лезги,лезги,adj,,лезги,0
55,лезги,лезги,n,abs,лезги,0
56,эдебиятдин,эдебиятдин,adj,,эдебиятдин,0
56,эдебиятдин,эдебият,n,gen,эдебиятди-н,0
57,чӀаланни,чӀал,n,"gen,add",чӀала-н-ни,0
58,орфографиядин,,,,,1
59,месэла,месэла,n,abs,месэла,0
60,гьял,гьял,verb,per,гьял,0
61,хьана,хьа,verb,aoc,хьа-на,0
61,хьана,хьа,verb,aor,хьа-на,0
61,хьана,хьана,intj,,хьана,0
62,куьтягь,куьтягь,verb,per,куьтягь,0
63,жезвач,же,verb,"imperf,neg",же-зва-ч,0
64,Им,и,prn,"sg,abs",им,0
65,за,зун,prn,erg,за,0
65,за,зун,prn,"in,essive",з-а,0
66,ктабда,ктаб,n,"in,essive",ктабд-а,0
67,эцигнавай,эциг,verb,"prf,ptp",эциг-нава-й,0
67,эцигнавай,эциг,verb,"prf,pst",эциг-нава-й,0
68,месэлаяр,месэла,n,"pl,abs",месэла-яр,0
69,гьял,гьял,verb,per,гьял,0
70,авуниз,аву,verb,"msd,dat",аву-ни-з,0
71,рехъ,рехъ,n,abs,рехъ,0
72,жугъуруниз,,,,,1
73,авунвай,аву,verb,"prf,ptp",аву-нва-й,0
74,сифте,сифте,adj,,сифте,0
74,сифте,сифте,adv,,сифте,0
75,алахъун,алахъун,n,abs,алахъун,0
75,алахъун,алахъ,verb,msd,алахъ-ун,0
76,я,я,cop,imperf,я,0
76,я,я,part,,я,0
76,я,я,conj,,я,0
77,Иниз,иниз,adv,,иниз,0
78,килигна,килиг,verb,aoc,килиг-на,0
78,килигна,килиг,verb,aor,килиг-на,0
78,килигна,килигна,postp,,килигна,0
79,кӀелдайбурувай,кӀел,verb,"fut,ptp,pl,ad,elative",кӀел-да-й-буру-в-ай,0
80,ва,ва,conj,,ва,0
80,ва,вун,prn,"in,essive",в-а,0
81,гзафни,,,,,1
