word,analysis,sep_form
Билбил,билбил<n><abs>,билбил
ХупӀ,хупӀ<part>,хупӀ
рахада,раха<verb>><fut>,раха-да
билбил,билбил<n><abs>,билбил
сегьер,сегьер<n><abs>,сегьер
вахтунда,вахтунда<adv>,вахтунда
Са,са<num>,са
гъамни,гъам<n>><add>,гъам-ни
авачир,ава<cop>><neg>><pst>,ава-ч-ир
гьайван,гьайван<n><abs>,гьайван
бахтавар,бахтавар<n><abs>,бахтавар
Цуькверивди,цуьк<n>><pl>><ad>><directive>,цуькв-ери-в-ди
дигай,дигай<adj>/дига<verb>><aor><ptp>,дигай/дига-й
гатфар,гатфар<n><abs>,гатфар
вахтунда,вахтунда<adv>,вахтунда
Гьала,гьала<verb><imper>,гьала
гила,гила<adv>,гила
жуваз,жув<prn>><dat>,жува-з
девран,девран<n><abs>,девран
бахтавар,бахтавар<n><abs>,бахтавар
Шумудни,шумуд<prn>><add>,шумуд-ни
са,са<num>,са
нагъма,нагъма<n><abs>,нагъма
кӀелда,кӀел<verb>><fut>,кӀел-да
ви,вун<prn><gen>,ви
назди,наз<n>><erg>,наз-ди
Гьар,гьар<prn>,гьар
са,са<num>,са
тегьер,тегьер<n><abs>,тегьер
рахаз,раха<verb>><inf>,раха-з
гьар,гьар<prn>,гьар
са,са<num>,са
авазди,аваз<n>><erg>,аваз-ди
ХъуьтӀуьз,кьуьд<n>><dat>/хъуьтӀуьз<adv>,хъуьтӀуь-з/хъуьтӀуьз
тади,тади<adj>/тади<n><abs>/та<verb>><afut>,тади/тади/та-ди
гана,га<verb>><aoc>/га<verb>><aor>,га-на/га-на
хупӀ,хупӀ<adj>/хупӀ<adv>/хупӀ<n><abs>/хупӀ<part>,хупӀ/хупӀ/хупӀ/хупӀ
ваз,вун<prn>><dat>,ва-з
аязди,аяз<n>><erg>,аяз-ди
Гила,гила<adv>,гила
ачух,ачух<adj>,ачух
я,я<cop><imperf>,я
ваз,вун<prn>><dat>,ва-з
майдан,майдан<n><abs>,майдан
бахтавар,бахтавар<n><abs>,бахтавар
Цуькверивди,цуьк<n>><pl>><ad>><directive>,цуькв-ери-в-ди
дигай,дигай<adj>/дига<verb>><aor><ptp>,дигай/дига-й
гатфар,гатфар<n><abs>,гатфар
вахтунал,вахт<n>><super><essive>,вахтуна-л
КӀанзава,кӀан<verb>><imperf>,кӀан-зава
ваз,вун<prn>><dat>,ва-з
ацукь,ацукь<verb>/ацукь<verb><imper>,ацукь/ацукь
цуьквер,цуьк<n>><pl><abs>,цуькв-ер
тахтунал,тахт<n>><super><essive>,тахтуна-л
Амай,ама<cop>><pst>,ама-й
ничхиррин,ничхир<n>><pl>><gen>,ничхир-ри-н
из,и<verb>><inf>,и-з
дуван,дуван<n><abs>/дуван<verb>,дуван/дуван
бахтавар,бахтавар<n><abs>,бахтавар
Цуькверивди,цуьк<n>><pl>><ad>><directive>,цуькв-ери-в-ди
къугъун,къугъун<n><abs>/къугъу<verb>><msd>,къугъун/къугъу-н
я,я<cop><imperf>,я
ви,вун<prn><gen>,ви
кӀвалахар,кӀвалахар<verb>/кӀвалах<n>><pl><abs>,кӀвалахар/кӀвалах-ар
Чуьллера,чуьл<n>><pl>><in><essive>,чуьл-лер-а
хъваз,хъва<verb>><inf>,хъва-з
таза,таза<adj>,таза
къайи,къайи<adj>,къайи
булахар,булах<n>><pl><abs>,булах-ар
Рахаз,раха<verb>><inf>,раха-з
гьар,гьар<prn>,гьар
са,са<adj>/са<num>/са<part>,са/са/са
аваз,ава<cop>><cvb>,ава-з
ийиз,ийи<verb>><inf>,ийи-з
дамахар,дамахар<verb>/дамах<n>><pl><abs>,дамахар/дамах-ар
Ашкъи,ашкъи<n><abs>,ашкъи
гьавалу,гьавалу<adj>,гьавалу
я,я<cop><imperf>,я
ваз,вун<prn>><dat>,ва-з
кьарар,кьар<n>><pl><abs>,кьар-ар
авач,ава<cop>><neg>,ава-ч
ХъуьтӀуьн,кьуьд<n>><gen>/хъуьтӀуьн<adj>,хъуьтӀуь-н/хъуьтӀуьн
зегьмет,зегьмет<n><abs>,зегьмет
амач,ама<cop>><neg>,ама-ч
ваз,вун<prn>><dat>,ва-з
хабар,хабар<n><abs>/хабар<verb>,хабар/хабар
авач,ава<cop>><neg>,ава-ч
Етим,етим<adj>/етим<n><abs>/етим<verb>,етим/етим/етим
Эминан,,
гъамни,гъам<n>><add>,гъам-ни
гьижран,гьижран<n><abs>,гьижран
бахтавар,бахтавар<n><abs>,бахтавар
